Team,Accuracy,F1-Score
SalehMohamed1324,70.95,55.66
shaimaayosri11-jpg,70.41,51.43
ziadazza,77.03,49.65
ssleem306-ship-it,75.05,47.28
RaneemAbdullah-77,72.73,42.01
rowansobhe78-max,71.25,38.96
donia-201,72.63,37.89
